,genre,body_text_clean
246,Other,leon els 13 reason season 2 music origin tv seri kind love think ive got heart stone left alon lone tonight think im gonna break heart tell im mayb she right know cant hold like dont emot true cant love like kind love ill show love show love show love ill show love show love show love ill show love show love show love kind love ill show love show love show love ill show love show love show love ill show love show love show love kind love think im anim think ive told thing thing defin tell ill die alon lyric commerci use 1409617854061
247,Other,haert 13 reason season 2 music origin tv seri love run like fire burn wind say youll take higher higher ive feel never wanna leav couldnt turn awak hold anyway im tri stop heartach tryin stay awak feel feel never wanna leav dont want love breath without dont want love dont dream dont wanna one wont one dont want dont know way way feel dont wanna stay lyric commerci use 1409617854061
248,Other,new order 13 reason season 2 music origin tv seri love vigilant oh ive come land sun war must name truth soldier brave freedom save rifl grenad help god want see famili wife child wait ive got go home ive alon see cant believ joy receiv final got leav lyric commerci use 1409617854061
249,Other,echo bunnymen 13 reason season 2 music origin tv seri kill moon blue moon saw soon youll take arm late beg cancel though know must kill time unwillingli mine fate thick thin wait give starlit night saw cruelli kiss lip magic world sky hung jewel kill moon come soon fate lyric commerci use 1409617854061
250,Other,human touch 13 reason season 2 music origin tv seri promis fall youv got back wall see way hold head everyth fault everyth start heat heat caus promis fall grew said promis would call im feel thing sure promis would good feel good caus promis fall didnt didnt promis fall lyric commerci use 1409617854061
251,Other,year year 13 reason season 2 music origin tv seri sanctifi pray pray night come caus im one know ooh give confess say late life tear apart walk fire caus know hurt cut two afraid dont break break sanctifi bodi pain pain sanctifi love crave crave oh wont wont wont asham lyric commerci use 1409617854061
252,Other,yungblud 13 reason season 2 music origin tv seri tin pan boy huge construct project could chang charact area road forev that worri least peopl known tin pan alley found carousel ride around get bore tear like kid playground put sand mouth spit your feel fickl want say shouldnt work way peopl live aint game coz pay smoke big fat cigar tweed hat cravat four bird arm im tin pan boy want take toy lyric commerci use 1409617854061
253,Other,orchestr manoeuvr dark 13 reason season 2 music origin tv seri souvenir say love captur unless give free sail seven sea sister ray tv light love shine bright fbi wont sleep tonight im awe dont know lyric commerci use 1409617854061
254,Other,tear fear 13 reason season 2 music origin tv seri watch bleed heaven come wait know im get nowher deed yesterday realli help pave way though there one near come everyon touch see tortur brow relat neither watch bleed bleed forev watch bleed bleed forev although face straight lie bodi feel pain cri tabl bare full feel empti warmth feel cold lyric commerci use 1409617854061
255,Other,siouxsi banshe 13 reason season 2 music origin tv seri citi dust water run children run run time mountain golden fountain pray lare shrine ohh oh citi lie dust friend ohh oh citi lie dust friend found hide found lie choke dirt sand former glori stori drag wash eager hand lyric commerci use 1409617854061
256,Other,gu dapperton 13 reason season 2 music origin tv seri lack spectacl move like tusk trade rule like sun shade ive pleasur let get togeth move like jack jive move like sin insid ive pleasur let get togeth yeah bud bloom bet could see plastic spend honor lyric commerci use 1409617854061
257,Other,telekinesi 13 reason season 2 music origin tv seri fall dream tell id guess never would told gift forget long live forget someth lyric commerci use 1409617854061
258,Other,alarm 13 reason season 2 music origin tv seri strength give love give hope give strength give someon live light fire need surviv life blood cours vein like river flow never chang need someon depend caus im man emot cant hide tear im man feel cant hide pain lyric commerci use 1409617854061
259,Pop/Rock,foster peopl sacr heart club sit next yeah im circl vultur got pray longer feel someth rotten last time saw said what push right tri catch alway move sober symptom clouttur night aint get younger last call around corner feel kinda tempt im pour truth fade talk caus want im say come sit next see thing go natur lyric commerci use 1409617854061
260,Pop/Rock,foster peopl sacr heart club pay man mean mean mean man mean mean yeah see see yeah oh yeah well need littl someth pull head need littl someth pull head yeah need littl someth ive run truth never lose lie come loos teeth tie noos climb tree hope hold thing ive seen ive chosen ignor well said well believ ive well fed yeah wolf dead say love alright dont afraid find light embrac day like night hear fire go wild name someon love said keep true lift name season chang know itll never well see sun fade wanna say love pay man pay man lyric commerci use 1409617854061
261,Pop/Rock,foster peopl sacr heart club money close eye gonna run light live live yeah wast time babi lost mind gonna get gonna get get money money money money wrong rock booz gotta strike match light fuse im never look back time leav futur past said doesnt matter go call poet battl shout world let know wont afraid step fight cant see light close eye gonna run light live live yeah wast time lyric commerci use 1409617854061
262,Pop/Rock,foster peopl sacr heart club shc omnipot omnipot secret worth keep im keep mouth shut weekend wont hang anybodi els pavement alway bake what want keep fall backward look relief want free ive count minut day count want live life wont ill never understand wave didnt know afraid lyric commerci use 1409617854061
263,Pop/Rock,foster peopl sacr heart club love friend friend theyr vacat im stuck park lot well look mirror im look screen pixel dream blow pocket ill find action cut scene im merrygoround im wash machin spin friend dont favor unless theyr parti got em friend blow paycheck got money theyr dumb reckless love friend love friend got dont need other lyric commerci use 1409617854061
264,Pop/Rock,foster peopl sacr heart club orang dream doctor afro malfunkenstein lyric commerci use 1409617854061
265,Pop/Rock,foster peopl sacr heart club static space lover circuit lightn glisten back start shift start shift love one morn tri call name men didnt know come around long long tri make togeth long long could die hang forev hold hold well get static space lover lyric commerci use 1409617854061
266,Pop/Rock,foster peopl sacr heart club lotu eater well could never like dont ever talk like smile sparkl drink stumbl lipstick mess molli loss yeah tragedi keep hang make look wait around someon take home know know im one im sorri late didnt wanna come aaaaaahhhhhh oh man look fun lyric commerci use 1409617854061
267,Pop/Rock,foster peopl sacr heart club time get closer id hope would time get closer lyric commerci use 1409617854061
268,Pop/Rock,foster peopl sacr heart club loyal like sid nanci parad mass come fresh death ive steal look shadow conjur purs yeah your walk stiletto nose bleed ive run devil devil back im decreas took leav absenc war wall come weve got press pedal got hand air im say cant breath got hand air im say hey man get away yeah hey man get away ah yeah ah ah ah ah never ask favor noth want well ive look answer lyric commerci use 1409617854061
269,Pop/Rock,foster peopl sacr heart club harden paint face embrac pressur made anoth time need ill say name yeah im right let drift away fit pleasur your beauti design say need face fear say name yeah im right yeah im float hand street gold dust caught fluff fat tell ive cross line need ill say name ill appear live anoth fall trash caught trip love pleas open ive gone long need ill appear say name yeah im right lyric commerci use 1409617854061
270,Pop/Rock,foster peopl sacr heart club iii itch trap wonder hold back stay stay make laugh overtim answer sail beauti life sail want live love forev lyric commerci use 1409617854061
271,Country,bebe rexha feat florida georgia line fault pt 2 meant babi lay back relax kick pretti feet dash need go nowher fast let enjoy right know road suppos lead got nothin time long your right next everyth gonna alright meant itll itll babi let meant itll itll babi let wont ride ride see thing goe meant itll itll babi meant dont meant uptight lyric commerci use 1409617854061
272,Country,bebe rexha feat gucci mane 2 chainz fault pt 2 that bebe gucci murda murda beat nice that that that that that that that that that that that that that that look real aint noth plastic ysl heel stoppin traffic look ass damn thing jurass that that that that ride west dodg paparazzi diamond drippin neck sauci sauci damn im dress fresh death step coffin that that that that im top lyric commerci use 1409617854061
273,Country,bebe rexha fault pt 2 got time wanna want want dont want one tell noth noth wanna live want want woo dont wanna hear noth caus got time got time ill go get high wanna get high love want caus got time got time caus got time got time got time right aint worri bout none yeah right aint worri bout none yeah right aint worri bout none wanna run corner mix marijuana cup liquor friend monster dont need sponsor spend money caus might tomorrow mix match design im fashion statement lyric commerci use 1409617854061
274,Country,bebe rexha feat lil wayn fault pt 2 way danc somebodi im sorri im pretti ill never ever sing like whitney oohoohhoooohhoo still wanna danc somebodi tunechi let let heart bleed till turn rust gonna live caus danger dont want play part amen wanna danc somebodi amen wanna danc somebodi yeah wanna danc somebodi wanna danc somebodi could anybodi tell somebodi dont matter love way wanna danc somebodi wanna danc somebodi wanna danc somebodi could never ever danc like bobbi danc imma watch bodi wanna stand right behind ya lyric commerci use 1409617854061
275,Country,bebe rexha fault pt 2 one oh god go drank littl much im stuck bed oh god im close oh feel damn good guess im love know leav next deep asleep skin skin cant help way feel oh cannot know there place id rather honestli hold close want love love love dont fall love hold hold hold long want love love dont fall love caus im one love lyric commerci use 1409617854061
276,Country,bebe rexha feat kranium fault pt 2 comfort oh yeah yeah yeah yeah yeah oh yeah yeah yeah yeah yeah oh yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah last time call beauti dont need hear itd nice know dont rememb last time got ya caus get get alon better give want shouldnt ask give want yeah yeah babi tell never buy flower your get comfort your get comfort never wanna open door your get comfort your get comfort yeah oh yeah yeah yeah yeah yeah oh yeah yeah yeah yeah yeah oh yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah your get comfort comfort nuh see seh mi tri pleas give blight fi di man weh suppos fi lyric commerci use 1409617854061
277,Pop/Rock,bebe rexha feat florida georgia line expect meant babi lay back relax kick pretti feet dash need go nowher fast let enjoy right know road suppos lead got nothin time long your right next everyth gonna alright meant itll itll babi let meant itll itll babi let wont ride ride see thing goe meant itll itll babi meant dont meant uptight lyric commerci use 1409617854061
278,Pop/Rock,bebe rexha expect im mess everyth mess late pretti sure dont wanna babi oh dont love dont love dont love dont love that okay caus love yeah love yeah love yeah love anyway heu everyth gonna alright everyth gonna okay gonna good good life that therapist say everyth gonna alright everyth gonna fine gonna good good life im mess im loser im hater im user im mess love aint im obsess im embarrass dont trust one around us im mess love aint wooooooooooo lyric commerci use 1409617854061
279,Pop/Rock,bebe rexha expect ferrari everi day blur sometim cant tell day dont know day tell day life pass caus im chase empti high everi hello mean goodby im look time start slow learn live right want feel im ferrari pull mulholland drive citi light pretti im ferrari parti done keep go miss moment live fast lane get kind lone yeah lyric commerci use 1409617854061
280,Pop/Rock,bebe rexha feat quavo expect 2 soul fire desir two soul fire desir two soul fire got look foolish look like dog im drool close mouth boy prove know way gon make bring bad girl believ oh yeah yeah yeah gon make pop tag fashion season oh yeah yeah yeah gon make move stop breath oh yeah yeah yeah lose faith ill make believ got feel type way oohoohoohooh got chain heart spin diamond desir two soul fire lyric commerci use 1409617854061
281,Pop/Rock,bebe rexha expect got see hurt ive thing babi dont worri got wanna know tell secret look like need caus got youoh got got caus got youoh got got get high oh nahnahnah get low oh nahnahnah let friend babi let tell lie oh nahnahnah get lost oh nahnahnah take oh nahnahnah let friend babi let give oh nahnahnah tell your think alway overthink lyric commerci use 1409617854061
282,Other,zedd feat maren morri grey middl middl take seat right sat stair stay leav cabinet bare im unawar got mess got aggress know meant good intent pull closer dont pull close dont come cant let go oh babi dont meet middl im lose mind littl dont meet middl middl babi dont meet middl im lose mind littl dont meet middl lyric commerci use 1409617854061
283,Other,logic feat ryan tedder one day feat ryan tedder one day mayb one day ill wiser caus mayb one day ill put faith tomorrow dark day keep night thing know gonna alright ever wonder mean make mean final obtain dream come run world mani fiend sinc teen get money get cream hard work sacrific lot know mean rapper aint got class like bomb threat bein ill diseas onset dont matter white black rich poor gon alway want one thing sure long got floor ima use power paint pictur uniti yeah im rippin energi like two fuck light camera right one day one day ill richer one day one day im gon enough money buy store one day one day like sinatra said know im finna way lyric commerci use 1409617854061
284,Pop/Rock,luke comb one delux edit beauti crazi day start coffe end wine take forev get readi she never time anyth get come get look eye well kinda scare way drive wild drive wild beauti crazi cant help amaz way danc aint afraid take chanc lyric commerci use 1409617854061
285,Pop/Rock,luke comb one delux edit got best seventeen dont think much life live like kerosen danc around fire your jump right aint afraid fall give got best broke heart that left beat guitar everi night differ sound follow around get what left yeah get what left lyric commerci use 1409617854061
286,Pop/Rock,luke comb one delux edit one number away sit home alon tri fall asleep stare hole phone pray ring watch movi youv seen thousand time mayb play mayer get lost favorit line your anyth like might whatev take drown nois wanna hear voic im one number away call said im die insid got head mess girl confess lie said im leav come back might whiskey midnight rain everywher go see face brain dial everyth want say im still one number away lyric commerci use 1409617854061
288,Pop/Rock,luke comb one delux edit pfg come cross creek z71 headlight shinin tree boy spill back seat ask what gonna tonight said im tri get loos tri make move dont matter long somewher go get away get lost god know well go hell dont care lyric commerci use 1409617854061
289,Pop/Rock,luke comb one delux edit memori made cheap boat 6 pack someth light firebal burn blue sky mercuri 93 wasnt even half pass noon first tast freedom high school break heart curfew mamma rule laugh think bout shit got yeah day thought wed never lose miss kid lookin back past wasnt much coupl bud good buzz lyric commerci use 1409617854061
290,Pop/Rock,luke comb one delux edit lone one honey how drink goin seem littl still 2 pm holler need anyth ive got ear lend ill right cuttin line countin cash stockin beer ive got idea what mind meantim think ive seen girl like watch broken heart break though door time two ill bet pack thing set curs name ill bet your doin best move lyric commerci use 1409617854061
292,Pop/Rock,luke comb one delux edit hurrican hadnt good time sinc know got talk goin hope stayin feelin like first time long time til bump friend talkin mine roll hair wind babi without warnin doin alright sight heart stormin moon went hidin star quit shinin rain droppin thunder n lightnin wreck whole world came hit like hurrican hit like hurrican lyric commerci use 1409617854061
293,Pop/Rock,luke comb one delux edit dont tempt ive best make church sunday aint call hungov monday guess could say im grown got shit togeth oddli enough dont mind caus time second guessin dont think second cant hang caus ive known get littl bit wild reckless known littl bit beer breakfast bet boot got littl use stomp hardwood floor buy bar anoth round shot close tab hit park lot next stop spot fridg stock back porch aint afraid take mani step line lyric commerci use 1409617854061
294,Pop/Rock,luke comb one delux edit one there coupl peopl owe beer two three four owe time couldnt find answer stumbl dark without clue one mom daddi alway best crazi fool couldnt help thank god see one told id write song pour heart melodi keep sing along might right time might right line prove lyric commerci use 1409617854061
295,Pop/Rock,luke comb one delux edit care wish couldnt wait ride one hors town didnt see use stick around green bust seam leav sit g wait day hit eighteen hit road trade counti maintain four lane citi street sometim thing aint think theyr gonna want aint alway need dont know got til gone your want cant get back let go know dont hold candl lyric commerci use 1409617854061
296,Pop/Rock,luke comb one delux edit got away well got caught panama citi tryin buy beer georgia girl got wore daddi stealin cigarett smoke friend would get away seem id get caught plain day look blame everi littl thing got away somehow l still aint found crazi truth like l stroll gate alcatraz l walk louvr mona lisa hang hous bust buckingham crown jewel l got away lyric commerci use 1409617854061
297,Pop/Rock,luke comb one delux edit honki tonk highway prevost headin alabama got three night run gonna kick birmingham headlight wide line fli 65 tryna catch hour sleep tomorrow come show time that know im live neon dream oh got boy band one night stand wait us road gonna load crank 10 whiskey shot 2 anoth show lyric commerci use 1409617854061
298,Pop/Rock,luke comb one delux edit houston got problem kinda town kinda place wouldnt mind hangin round coupl day got 12th floor room killer view empti astrodom got tab bar downstair think home got new boot cover red dirt dont mess texa tshirt lonestar postcard postmark missin got biggest sky youv ever seen coldest beer youd ever drink still feel like land moon caus aint got houston got problem lyric commerci use 1409617854061
299,Pop/Rock,luke comb one delux edit mustv never met pick dust say aint hard puttin one foot front aint gettin far movin aint comin along way said would guess whoever said grass greener mustv never seen side dont kill make stronger sure sound like lie whoever said time heal everyth everyth alright whoever said aint end world find somebodi new mustv never met mustv never met lyric commerci use 1409617854061
300,Pop/Rock,luke comb one delux edit long way six beer five guy rememb right wednesday got buzz secondhand six pack half smoke soft pack light boy take drag fought cough everyon els thought damn cool head spin like tiltawhirl yeah man realli rock world back thing seem littl bit stronger back weekend last littl bit longer cant tell thing seem never end back lyric commerci use 1409617854061
301,Country,thoma rhett life chang life chang wake colleg dorm yeah life pretti normal look date spring formal wasnt worri bout noth els major undecid notebook full bad song write never dream anyon els would like theyr sit walmart shelf aint funni life chang wake aint noth life chang cant stop hop train never know what gonna happen make plan hear god laugh life chang wouldnt chang world world oh wouldnt chang world world oh lyric commerci use 1409617854061
302,Country,thoma rhett life chang marri want get marri want perfect want granddaddi preach servic yeah want magnolia countri mani peopl save daddi money ooh got plan yeah see right ill wear black suit black tie hide back ill strong shot whiskey straight flask ill tri make without cri nobodi see yeah wanna get marri dont wanna marri lyric commerci use 1409617854061
303,Country,thoma rhett feat maren morri life chang crave everi time say goodby im count say hello everi touch like strongest drug dont know much longer go never someth cant walk away girl selfcontrol paralyz come aint got patienc there someth bout girl cant fight your like cigarett shot 100 proof matter much get im alway crave feel kiss way bodi move matter much get im alway crave crave lyric commerci use 1409617854061
304,Country,thoma rhett life chang unforgett 14th octob tshirt shoulder drunk said sober said yeah right talkin minut guy tri cut took hand pretend like guy oh tri guess middl name 30 minut bet play game mangorita drinkin coldplay song singin bet right your probabl thinkin crazi rememb everi detail blue jean shoe girl night like unforgett lyric commerci use 1409617854061
305,Country,thoma rhett life chang sixteen uh uh take left boy take slow dont get distract radio roll eye said daddi know im 15 aint green like old ten year old wouldnt give sixteen wild free cruis main f150 roll window bass loud burnt cd ill right wanna im 16 16 yeah 16 drive final feel aliv got curfew sneak late smell like girlfriend perfum lyric commerci use 1409617854061
306,Country,thoma rhett feat rhett akin life chang drink littl beer drink littl beer play littl music big time tonight got tennesse girl rocki top breez big ol yellow moon new set string 69 yeti full iceddown booz everybodi round sleepi littl town head pinetucki road gonna leav worri cloud dust right old fenc post yeah gonna drink littl beer play littl music big time tonight bunch home boy blue jean girl kick dirt shoot light life ol briar patch gotta danc way sometim gonna drink littl beer play littl music big time tonight got pig ground star sky jar full lightn juic lyric commerci use 1409617854061
307,Country,thoma rhett life chang leav right street parti drown problem bacardi peopl still talk oh im im sorri babi could leav right ditch friend guy came get know aint loud alon old moonlit road two us could disappear say word get babi could leav right meet back like sound could could could leav right could lyric commerci use 1409617854061
308,Country,thoma rhett life chang smooth like summer dont ever go rich kid go yeah thing dont cut hair caus dont care smoke anyth still kiss act fool hop fenc find pool fli free like drink smooth like summer smooth like summer uh huh go groov like mother backseat love tear cloth night keep smooth like summer smooth like summer uh huh dont realli care hand aint stamp lyric commerci use 1409617854061
309,Country,thoma rhett life chang look like said time one drink dress your wear say whole nother thing laugh smile wink got head spin round like roller rink go place weve never get better everi tonic gin got hollywood glow skin wearin grin suppos crawl next bar make danc floor take far back door leav open tab look like tell suppos keep hand your make mind wander somewher els lyric commerci use 1409617854061
310,Country,thoma rhett life chang sweetheart sweetheart god couldv never made two nobodi quit like woke morn sleepi smile realiz havent told your life your dream your reason everi song sing your rock world alway forev girl sweetheart god couldv never made two nobodi quit like woah sweetheart one kiss come unglu reason fall piec caus your ador your one heart beat lyric commerci use 1409617854061
311,Country,thoma rhett life chang kiss like stranger busi work hard wrap job got bill pay late talk feel like dont hear singl word say get back basic find young love make tear wall ignor call stay kiss like stranger babi hold like weve never met everi touch littl danger like aint gotten use yet strike match light fuse could use reckless behavior babi kiss like stranger ooh ooh ooh lightn skin lyric commerci use 1409617854061
313,Country,thoma rhett life chang gateway love bet heart skip beat kiss babi yeah gotta know peac mind stay night caus drive crazi tell ye either way im fine last time talk said youd never better that said though togeth mine juli your decemb guess gateway love didnt get high enough kinda like 8th grade crush never last heavi stuff tell find one find one thought know gateway love babi yeah gateway love babi lyric commerci use 1409617854061
314,Country,thoma rhett life chang grave your forev slice heaven side mississippi river babi your infin end come hell fire rain babi noth chang noth chang ooh ooh ooh ooh ooh good lord call home life may six feet deep ill still love ooh ooh babi got wont ever die cant take diamond cant take gold ill take love go im gonna take grave your destini youll alway lyric commerci use 1409617854061
315,Rap,calvin harri feat dua lipa one kiss one kiss one kiss take fall love possibl look like need let take night love real easi know youll still wanna see sunday morn music real loud let love moon still someth youoohooh lit heaven meee feel wont let sleeeeep caus im lost way move way feel one kiss take fall love possibl look like need one kiss take fall love possibl look like need lyric commerci use 1409617854061
316,Pop/Rock,shawn mend shawn mend blood help like wall cave sometim feel like give cant isnt blood lay bathroom floor feel noth im overwhelm insecur give someth could take eas mind slowli drink youll feel better take home youll feel better keep tell get better ever help like wall cave sometim feel like give medicin strong enough lyric commerci use 1409617854061
317,Pop/Rock,shawn mend shawn mend nervou saw sunday cafe look way heart start race hand start shake yeah heard ask friend adrenalin kick caus ive ask room get littl bit nervou around get littl bit stress think get littl excit babi think yeah talk littl much talk littl much around yeah get littl self consciou get littl self consciou think get littl excit get littl excit babi think yeah yeah think babe lyric commerci use 1409617854061
318,Pop/Rock,shawn mend shawn mend lost japan id take one flight wed time zone look timelin see rainbow got idea know sound crazi wanna see ya oh gotta ask got plan tonight im coupl hundr mile japan think could fli hotel tonight caus cant get mind cant get mind cant get mind oh could feel tension could cut knife know friendship hear think bout yeah gotta convinc shouldnt fall asleep itll coupl hour lyric commerci use 1409617854061
319,Pop/Rock,shawn mend shawn mend morn said want get know ya gotta get hope said stay woke cold air could make believ someth yeah look around dont see morn babi didnt leav number left without warn babi morn babi walk away walk away lyric commerci use 1409617854061
320,Pop/Rock,shawn mend feat julia michael shawn mend like dont cri whatev make feel comfort im tire there nothin left say let call truce caus dont realli wanna go bed like im sorri still stuck middl im sorri caus moment dont know like dont know like im die could put shoe know like kiss caus im realli sure right want still mad lyric commerci use 1409617854061
321,Pop/Rock,shawn mend shawn mend fallin sunris chest blind place live daybreak open eye caus ever meant one night still chang mind dear close lip touch nose feel breath push heart pull away yeah summer winter day love cant see one thing wrong us mine mine yeah anytim anytim ooh know ive alon quit havent thought knew found love wrong time enough sinc came along im think babi lyric commerci use 1409617854061
322,Pop/Rock,shawn mend shawn mend particular tast dont listen thing less feel right danc kany take oneonon feel like youll beg merci merci ooh shell take name number shell hit eras walk away ooh specif she place place she got particular tast yeah she obsess chase yeah dont wast time convers goe right face yeah she particular never pickin phone less ring twice answer question mhh lyric commerci use 1409617854061
323,Pop/Rock,shawn mend shawn mend know girl she like curs want one break first mani night tri find someon new dont mean noth compar know peopl ask us brush dont know act like mean noth wish could tell your want yeah pretend im readi put hell cant get say hi like met put hell cant get lyric commerci use 1409617854061
324,Pop/Rock,shawn mend shawn mend think time honest shouldv told go thought knew want didnt know your somebodi cant yeah tell your happi time final meet somebodi new take place took us might help forget love someth could never lyric commerci use 1409617854061
325,Pop/Rock,shawn mend shawn mend queen hard believ dont rememb hard recogn say nice meet everi time yeah made laugh still rememb said guess shouldnt surpris say nice meet everi time know got lot mutual friend dont say name dont come convers yeah crown queen think your cool make beauti look ugli way put treat like got noth make beauti look ugli aint ruler countri made queen lyric commerci use 1409617854061
326,Pop/Rock,shawn mend feat khalid shawn mend youth stuck couch scroll note heart broken still grow nah wake headlin fill devast heart broken keep go pain wont let turn hate wont let chang never lose sight one keep insid know yeah know cant take youth away soul mine never break long wake today cant take youth away cant take youth away soul mine never break long wake today cant take youth away cant take youth away lyric commerci use 1409617854061
327,Pop/Rock,shawn mend shawn mend mutual want close want close want closer your hard tell your say want today tomorrow feel never chang want want uh need know mutual go get way involv want bad reciproc dont want leav half enough lyric commerci use 1409617854061
328,Pop/Rock,shawn mend shawn mend perfectli wrong tast poison lip leav good gone oh love drunken sing favorit song made break know that true much late your perfectli wrong that hard leav yeah your perfectli wrong your perfectli wrong star sky could see your perfectli wrong oh know much hurt everi time say hate make love make worth lyric commerci use 1409617854061
329,Pop/Rock,shawn mend shawn mend your readi mayb mani drink that need hope dont think im say sound conceit look across room your stare right back like somebodi told joke one laughin dont know tri caus aint nobodi like familiar disappoint everi singl time everi singl night arm around mind still wrap around babi tell your readi im waitin babi time your readi im waitin even ten year havent found somebodi promis ill around tell your readi im waitin daddi right say your one lyric commerci use 1409617854061
330,Other,david guetta feat annemari dont leav alon feat annemari dont leav alon dont want lie honest right your sit chest dont know id without comfort realli go first realli left dont know would aliv today without like night day read repeat everi convers everi day saturday everi sunday got pray dont ever leav dont ever go ive seen tv know goe even your angri even im cold dont ever leav dont leav alon dont leav ah alon ah ah ah alon lyric commerci use 1409617854061
331,Other,ciara level level five four three two one leggo watch level level level level level level level level level level yummi sauc yummi know want yummi yummi tummi level level level level level level level level level level yummi sauc yummi know want yummi yummi tummi old mistak gone wont that old news there new news done turn noth someth comeback one hunnid less talk action gon see ci come keep elev loss upgrad lesson made bless turn money thank god never settl view much better im chill im win like anoth level oh talk want see stay pray noth im afraid five four three two one leggo watch lyric commerci use 1409617854061
332,Country,marshmello feat annemari speak mind friend ooohoh ooohwoh ooohoh ooohwoh say love say crazi noth friend your lover like brother know sinc like ten yeah dont mess talk shit gonna push away that say love make crazi go dont go look look eye realli aint go away without fight cant reason im done polit ive told one two three four five six thousand time havent made obviou havent made clear want spell f r e n havent made obviou havent made clear want spell f r e n f r e n lyric commerci use 1409617854061
333,Country,ann mari speak mind cri ive never quitter your gonna pull ground see ive alway winner yeah peopl alway tri take take take crown thought differ beat rhythm sound found somebodi fitter huh let middl night see cri yeah yeah your sleep realis yeah yeah dont know know shouldnt held might beg give one last tri your cri yeah yeah hush babi dont cri youll never find anoth mmm anoth piec luxuri like lyric commerci use 1409617854061
334,Country,ann mari speak mind ciao adio ask ask twice there lipstick collar say she friend dont call want go someon thing use swear know use take fanci car make rain ring dont know til hear say name use sing along play guitar distant memori hope treat better treat im onto yeah im number one saw kiss fun your give money time im gonna sit wast mine yeah ciao adio im done lyric commerci use 1409617854061
335,Country,ann mari speak mind alarm lay your shuttin smell ya im focus know what goin head yeah know what happen bed yeah phone buzzin pick know callin fuck shouldv known cheat stay cheater goe alarm ringin head like somebodi said dont trust text ex expect your lyin knowin goe gotta getcha karma bitch yeah way come that way go gotta getcha rewindin pictur goe alarm siren go goe alarm saw comin let go girl tell told intrigu style boy alway sucker wild boy lyric commerci use 1409617854061
336,Country,ann mari speak mind trigger dont even wanna open door dont wanna step insid histori scatter floor blur enemi line far start rememb there even fight dont wanna even talk anymor dont wanna get left behind get nowher tire fight put gun right thing wont fix quicker dont pull trigger come along show merci realli wanna hurt wont fix quicker dont pull trigger wont fix quicker lyric commerci use 1409617854061
338,Country,ann mari speak mind perfect dont feel like put makeup cheek wanna love everi singl part bodi top bottom im supermodel magazin im okay perfect caus that perfect caus that perfect caus that perfect matter go everybodi stare fanci cloth im rockin baggi jean gettin close comfort comfort need eat bodi weight chocol ice cream ah mayb bite nail dont think speak dont fit crowd dont ever get much sleep wish leg bigger bigger new york citi ill love want love caus love gender free dont feel like put makeup cheek wanna love everi singl part bodi lyric commerci use 1409617854061
339,Country,ann mari speak mind bad girlfriend im bad girlfriend im bad girlfriend huh huh huh huh huh cancel plan cancel say id back earli dont get til 2 ask ive tell someth vagu think mess say mum said hate think im fuck lazi friend keep tell leav caus im crazi shit cant forgiv better get use im bad girlfriend im bad girlfriend tell birthday forgot im bad girlfriend im bad girlfriend see call im answer im laugh dont think your funni im stay caus give money im bad girlfriend im bad girlfriend friend huh yeah im im im im bad bad girl lyric commerci use 1409617854061
340,Country,ann mari speak mind heavi get lost insid use strong like dont care instead call help dont know went wrong hard share hard share weight left shoulder much us get heavi love that us never use feel feel heavi cant get ground weigh us lyric commerci use 1409617854061
341,Country,ann mari speak mind 2002 alway rememb day kiss lip light feather went like never better summer 2002 ooh uh eleven act like grownup like present drink plastic cup sing love forev ever well guess true danc hood middl wood old mustang sang song childhood friend went like say oop got 99 problem sing bye bye bye hold wanna go take ride better hit babi one time uh paint pictur day young uh lyric commerci use 1409617854061
342,Country,ann mari speak mind get number dont know realli im look dont mind danc see stand wall want get alon tryin best honest dont wanna break promis shit love dont wanna start carnag isnt time modest shit love get number tonight oh huh dont might regret rest life see see got feel vibe oh huh gotta hurri make move there time wast time get oh oh oh oh oh oh oh oh get oh oh oh oh oh oh oh oh uh lyric commerci use 1409617854061
343,Country,ann mari speak mind machin feel ach bodi id bone know air isnt breathabl good lung feel anger insid burn like sun chest got patienc selfcontrol god know im tri best machin id never worri know could alway press delet machin wouldnt affect violenc televis screen wouldnt heart couldnt break thing time couldnt wast would dream world could never bother machin oh oh oh oh machin oh lyric commerci use 1409617854061
344,Rap,kane brown kane brown delux edit heaven perfect come kiss one time couldnt dream even tri moment feel like magic im right wanna everybodi talk heaven like cant wait go say gonna good beauti lie next bed aint convinc caus dont know dont know heaven heaven lyric commerci use 1409617854061
345,Rap,kane brown feat lauren alaina kane brown delux edit if say hurt leav find somebodi els dont need goe south mess say break two well hear girl feel girl fast make mind gotta ask made made meant aint one fool playin game pull close lean star line last first kiss one day babi id go chang name love if away lyric commerci use 1409617854061
346,Rap,kane brown kane brown delux edit hometown old mr jackson cut grass church tractor listen countri countdown rememb three cord session give lesson never guess wed go dive bar sold smile cant help grin turn dial fm here old friend cant believ aint yeah wanna make hometown proud make em turn loud roll window wanna make hometown proud gonna give em sound everybodi talk still old old southern boy still got old old southern voic sing wanna make hometown proud make hometown proud make hometown proud whine year lyric commerci use 1409617854061
